time,equity,session
2026-04-06 11:00:00-04:00,9900.0,US_Open
2026-04-07 11:50:00-04:00,9801.0,US_Open
2026-04-08 10:50:00-04:00,9997.02,US_Open
2026-04-09 14:00:00-04:00,9944.65,US_Open
2026-04-10 12:05:00-04:00,10143.55,US_Open
2026-04-13 12:15:00-04:00,10042.11,US_Open
2026-04-14 11:05:00-04:00,9941.69,US_Open
2026-04-14 10:40:00-04:00,9842.27,US_Open
2026-04-15 11:30:00-04:00,10039.12,US_Open
2026-04-21 10:40:00-04:00,10239.9,US_Open
2026-04-24 14:10:00-04:00,10200.66,US_Open
2026-05-05 10:10:00-04:00,10098.66,US_Open
2026-05-05 10:25:00-04:00,9997.67,US_Open
2026-05-07 11:30:00-04:00,9897.69,US_Open
2026-05-08 10:15:00-04:00,9798.72,US_Open
2026-05-08 13:25:00-04:00,9700.73,US_Open
2026-05-12 11:20:00-04:00,9894.74,US_Open
2026-05-18 10:40:00-04:00,10092.64,US_Open
2026-05-18 13:00:00-04:00,10041.43,US_Open
2026-05-18 12:10:00-04:00,9941.02,US_Open
2026-05-20 13:45:00-04:00,9892.06,US_Open
2026-05-22 11:05:00-04:00,9793.14,US_Open
2026-05-28 10:45:00-04:00,9989.01,US_Open
2026-05-29 10:20:00-04:00,9889.12,US_Open
2026-05-29 13:25:00-04:00,9911.9,US_Open
2026-06-02 11:05:00-04:00,9812.78,US_Open
2026-06-03 11:10:00-04:00,9714.65,US_Open
2026-06-05 11:00:00-04:00,9617.51,US_Open
2026-06-08 10:50:00-04:00,9521.33,US_Open
2026-06-08 11:55:00-04:00,9711.76,US_Open
2026-06-10 12:00:00-04:00,9614.64,US_Open
2026-06-11 12:10:00-04:00,9806.93,US_Open
2026-06-12 10:50:00-04:00,9708.87,US_Open
2026-06-12 13:20:00-04:00,9751.2,US_Open
